,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coihaique,-45.5752,-72.0662,55.42,86,100,4.52,CL,1614569485
1,ustka,54.5805,16.8619,37.17,90,2,9.06,PL,1614569486
2,hilo,19.7297,-155.09,69.8,83,90,9.22,US,1614569415
3,tatarsk,55.219,75.9828,8.64,95,100,11.56,RU,1614569487
4,mataura,-46.1927,168.8643,70.0,75,53,11.01,NZ,1614569488
5,atuona,-9.8,-139.0333,80.35,77,47,16.42,PF,1614569488
6,avarua,-21.2078,-159.775,84.2,79,75,11.5,CK,1614569488
7,bethel,41.3712,-73.414,37.0,95,100,5.68,US,1614569488
8,saldanha,-33.0117,17.9442,57.2,88,92,4.61,ZA,1614569489
9,forbes,-33.3833,148.0167,96.01,10,41,5.01,AU,1614569489
10,punta arenas,-53.15,-70.9167,41.0,65,0,4.61,CL,1614569489
11,soyo,-6.1349,12.3689,79.7,86,100,10.8,AO,1614569490
12,bredasdorp,-34.5322,20.0403,68.0,88,36,4.61,ZA,1614569490
13,jining,35.405,116.5814,35.85,89,100,15.28,CN,1614569491
14,junin,-34.5838,-60.9433,72.0,89,0,9.8,AR,1614569491
15,makurdi,7.7411,8.5121,73.89,73,5,5.1,NG,1614569491
16,cap malheureux,-19.9842,57.6142,82.0,73,1,4.0,MU,1614569491
17,hermanus,-34.4187,19.2345,72.0,83,0,3.0,ZA,1614569492
18,mitsamiouli,-11.3847,43.2844,80.92,76,19,8.12,KM,1614569492
19,faanui,-16.4833,-151.75,82.6,75,100,6.33,PF,1614569492
20,isla mujeres,21.2311,-86.731,80.01,78,40,13.8,MX,1614569493
21,punta cardon,11.6581,-70.215,76.46,78,4,17.96,VE,1614569493
22,busselton,-33.65,115.3333,71.01,63,100,5.99,AU,1614569493
23,bengkulu,-3.8004,102.2655,86.77,57,22,5.41,ID,1614569493
24,timra,62.487,17.3257,39.99,75,100,5.75,SE,1614569494
25,albany,42.6001,-73.9662,37.99,75,100,1.99,US,1614569408
26,tevriz,57.509,72.4042,-2.25,92,97,6.4,RU,1614569494
27,rio grande,-32.035,-52.0986,73.99,84,42,5.01,BR,1614569495
28,ushuaia,-54.8,-68.3,44.6,61,40,4.61,AR,1614569448
29,kahului,20.8947,-156.47,73.4,78,40,14.97,US,1614569495
30,mocuba,-16.8392,36.9856,69.58,98,65,4.83,MZ,1614569495
31,thompson,55.7435,-97.8558,-14.8,64,1,9.22,CA,1614569495
32,lebu,-37.6167,-73.65,59.52,91,55,18.54,CL,1614569496
33,nikolskoye,59.7035,30.7861,34.0,93,0,8.95,RU,1614569496
34,tongliao,43.6125,122.2653,18.25,42,100,10.98,CN,1614569496
35,ahipara,-35.1667,173.1667,69.03,83,81,7.61,NZ,1614569497
36,zhigansk,66.7697,123.3711,-18.76,85,100,5.39,RU,1614569497
37,dingle,10.9995,122.6711,85.08,64,70,9.75,PH,1614569497
38,benjamin constant,-4.3831,-70.0311,75.2,100,75,0.47,BR,1614569498
39,cidreira,-30.1811,-50.2056,74.03,88,25,17.38,BR,1614569498
40,osorio,-29.8867,-50.2697,72.0,86,66,6.64,BR,1614569498
41,kaitangata,-46.2817,169.8464,66.0,84,87,10.0,NZ,1614569499
42,barrow,71.2906,-156.7887,-11.2,77,90,6.91,US,1614569499
43,tiksi,71.6872,128.8694,-27.85,86,100,4.99,RU,1614569499
44,dafeng,23.4517,108.5881,77.02,67,88,8.59,CN,1614569500
45,esperance,-33.8667,121.9,68.0,68,90,16.11,AU,1614569500
46,saint anthony,45.0205,-93.218,19.4,68,1,11.5,US,1614569500
47,cape town,-33.9258,18.4232,66.99,77,0,5.75,ZA,1614569482
48,jamestown,42.097,-79.2353,42.01,95,90,11.21,US,1614569474
49,sioux lookout,50.1001,-91.917,3.2,66,90,17.27,CA,1614569501
50,chokurdakh,70.6333,147.9167,-24.63,85,0,5.44,RU,1614569503
51,berlevag,70.8578,29.0864,37.08,83,98,32.99,NO,1614569504
52,liverpool,53.4106,-2.9779,39.99,93,0,3.44,GB,1614569504
53,georgetown,5.4112,100.3354,86.0,69,20,4.61,MY,1614569400
54,patacamaya,-17.2333,-67.9167,46.22,87,24,7.9,BO,1614569505
55,ancud,-41.8697,-73.8203,59.0,94,0,3.44,CL,1614569505
56,qaanaaq,77.484,-69.3632,-4.05,78,100,2.24,GL,1614569505
57,torbay,47.6666,-52.7314,32.0,100,90,13.8,CA,1614569506
58,port elizabeth,-33.918,25.5701,68.0,88,0,12.66,ZA,1614569504
59,hithadhoo,-0.6,73.0833,83.01,61,100,8.55,MV,1614569506
60,saskylakh,71.9167,114.0833,-24.16,85,98,6.85,RU,1614569507
61,grand gaube,-20.0064,57.6608,82.0,73,2,4.0,MU,1614569507
62,castro,-24.7911,-50.0119,61.92,92,100,11.1,BR,1614569466
63,arraial do cabo,-22.9661,-42.0278,76.66,86,100,13.51,BR,1614569451
64,rikitea,-23.1203,-134.9692,78.39,79,48,11.83,PF,1614569508
65,victoria,22.2855,114.1577,73.0,79,77,1.01,HK,1614569464
66,pemangkat,1.1667,108.9667,84.06,66,29,6.91,ID,1614569508
67,omsukchan,62.5333,155.8,-19.88,82,100,8.05,RU,1614569253
68,pisco,-13.7,-76.2167,73.4,83,0,3.44,PE,1614569509
69,san juan de uraba,8.7592,-76.5297,79.54,79,91,5.77,CO,1614569509
70,upernavik,72.7868,-56.1549,3.47,93,100,23.47,GL,1614569510
71,pangody,65.85,74.4859,-16.28,95,100,12.3,RU,1614569510
72,port alfred,-33.5906,26.891,69.64,79,5,23.51,ZA,1614569510
73,alencon,48.4333,0.0833,37.4,81,0,3.44,FR,1614569510
74,kodiak,57.79,-152.4072,26.6,36,1,14.97,US,1614569511
75,airai,-8.9266,125.4092,67.5,100,86,2.42,TL,1614569511
76,san juan,-31.5375,-68.5364,84.43,37,52,4.18,AR,1614569512
77,yuancheng,36.652,107.7896,34.72,44,23,8.14,CN,1614569512
78,utete,-7.986,38.758,75.16,96,100,2.84,TZ,1614569512
79,santo antonio de padua,-21.5394,-42.1803,68.9,94,100,1.77,BR,1614569357
80,mahebourg,-20.4081,57.7,75.2,88,40,3.44,MU,1614569513
81,tasiilaq,65.6145,-37.6368,17.6,79,1,10.36,GL,1614569513
82,vaini,-21.2,-175.2,82.4,74,75,4.61,TO,1614569513
83,lorengau,-2.0226,147.2712,85.01,70,67,8.99,PG,1614569513
84,husavik,66.0449,-17.3389,41.0,52,40,12.66,IS,1614569513
85,atar,20.5169,-13.0499,58.48,32,0,8.48,MR,1614569513
86,aklavik,68.2191,-135.0107,-34.6,67,63,6.91,CA,1614569514
87,hobart,-42.8794,147.3294,71.01,55,75,4.61,AU,1614569405
88,ilulissat,69.2167,-51.1,1.4,92,75,25.32,GL,1614569514
89,verkhoyansk,67.5447,133.385,-24.25,80,69,1.9,RU,1614569515
90,kerman,30.2832,57.0788,33.8,86,0,4.61,IR,1614569515
91,renqiu,38.6989,116.0936,33.26,68,100,6.08,CN,1614569515
92,dikson,73.5069,80.5464,-14.28,86,100,23.87,RU,1614569516
93,diamantino,-14.4086,-56.4461,71.28,96,36,5.5,BR,1614569516
94,betanzos,43.2804,-8.2147,45.0,100,12,4.61,ES,1614569517
95,elizabeth city,36.2946,-76.2511,68.0,82,1,12.66,US,1614569220
96,tilichiki,60.4667,166.1,-9.45,88,100,14.12,RU,1614569518
97,nakhodka,42.8333,132.8947,23.16,88,100,11.07,RU,1614569518
98,butaritari,3.0707,172.7902,80.71,81,100,15.3,KI,1614569518
99,bella union,-30.2752,-57.6007,73.17,67,0,13.33,UY,1614569518
100,adrar,20.5022,-10.0711,57.38,35,0,9.91,MR,1614569519
101,port-gentil,-0.7193,8.7815,81.52,81,100,12.19,GA,1614569519
102,souillac,-20.5167,57.5167,75.2,88,40,3.44,MU,1614569520
103,yellowknife,62.456,-114.3525,-17.0,63,75,9.22,CA,1614569520
104,bluff,-46.6,168.3333,70.0,75,47,11.01,NZ,1614569520
105,new norfolk,-42.7826,147.0587,71.01,54,56,1.01,AU,1614569520
106,chuy,-33.6971,-53.4616,68.74,87,12,9.13,UY,1614569521
107,heilbronn,49.1403,9.22,30.99,90,0,4.79,DE,1614569521
108,hailar,49.2,119.7,0.1,86,11,4.65,CN,1614569521
109,saint-philippe,-21.3585,55.7679,78.8,61,0,8.05,RE,1614569522
110,takoradi,4.8845,-1.7554,78.04,89,77,8.43,GH,1614569522
111,tura,25.5198,90.2201,83.23,30,0,4.5,IN,1614569522
112,tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,2.3,CA,1614569523
113,portland,45.5234,-122.6762,50.0,61,1,2.53,US,1614569430
114,chara,56.9064,118.2631,-15.34,63,31,1.34,RU,1614569523
115,beringovskiy,63.05,179.3167,-3.46,94,100,31.09,RU,1614569523
116,monte patria,-30.6919,-70.9467,61.5,70,0,0.83,CL,1614569524
117,puerto ayora,-0.7393,-90.3518,79.0,91,100,2.73,EC,1614569329
118,mansa,29.9833,75.3833,73.74,18,0,2.77,IN,1614569524
119,camacha,33.0833,-16.3333,59.0,72,40,11.5,PT,1614569524
120,nantucket,41.2835,-70.0995,39.0,96,100,20.13,US,1614569525
121,kalmunai,7.4167,81.8167,81.21,61,0,3.27,LK,1614569525
122,svetlaya,46.5389,138.3297,17.92,78,100,7.99,RU,1614569525
123,kirakira,-10.4544,161.9205,83.77,79,91,8.99,SB,1614569525
124,kapaa,22.0752,-159.319,75.2,64,1,25.32,US,1614569525
125,malangwa,26.8568,85.5581,77.32,31,0,9.57,NP,1614569526
126,carnarvon,-24.8667,113.6333,82.4,61,40,12.66,AU,1614569526
127,kerrville,30.0474,-99.1403,62.01,72,90,9.22,US,1614569374
128,avera,33.194,-82.5271,71.6,73,1,8.05,US,1614569526
129,dakar,14.6937,-17.4441,62.6,94,0,13.8,SN,1614569527
130,namatanai,-3.6667,152.4333,84.27,69,100,8.3,PG,1614569527
131,nuuk,64.1835,-51.7216,8.6,72,90,8.05,GL,1614569528
132,mpika,-11.8343,31.4529,62.82,98,100,6.58,ZM,1614569529
133,dwarka,22.2394,68.9678,77.13,55,0,11.95,IN,1614569529
134,constitucion,-35.3333,-72.4167,64.29,60,0,8.66,CL,1614569529
135,meulaboh,4.1363,96.1285,86.43,63,70,0.92,ID,1614569530
136,kytmanovo,53.4593,85.4479,24.01,98,100,11.56,RU,1614569530
137,niksic,42.7731,18.9445,48.2,80,0,1.14,ME,1614569530
138,pokrovsk,48.282,37.1758,30.25,99,99,5.19,UA,1614569531
139,stromness,58.965,-3.296,42.8,87,90,6.91,GB,1614569531
140,leningradskiy,69.3833,178.4167,-19.88,87,48,2.42,RU,1614569531
141,guerrero negro,27.9769,-114.0611,60.06,24,0,5.77,MX,1614569527
142,sao joao da barra,-21.6403,-41.0511,74.86,89,100,3.96,BR,1614569532
143,narsaq,60.9167,-46.05,26.6,74,90,2.3,GL,1614569533
144,novoagansk,61.9449,76.6625,-14.98,88,0,6.04,RU,1614569533
